Start Time,End Time,Price,Location,Description,Image URL,URL
2023-11-10,2024-05-31,"$1,300/month","Crown Heights, Brooklyn - Rooms for Rent
        - Pet Friendly",Room in a 2B/1Ba walkup,"https://listingsproject-listing-photos.imgix.net/listing_photos/Gw9GQEyuMvH7-HhXz4sV3g/k_N-Vo-IMG_0125.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/room-in-a-2b-1ba-walkup-87e1980e-8795-4eb2-8913-113462d0a31f
2023-11-13,2023-11-13,"$1,050/month","bushwick, brooklyn - Rooms for Rent",new renovated high ceiling apartment for share,"https://listingsproject-listing-photos.imgix.net/listing_photos/tog4hHALLRbFP6yy-citPQ/pPJlmr-PXL_20210708_195201170.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/new-renovated-high-ceiling-apartment-for-share-780f5854-888d-4a44-a96d-37f1e7690ce5
2023-11-14,2024-07-31,"$1,800/month","East Williamsburg, BROOKLYN - Rooms for Rent","Large 168 sq ft Bedroom, East Williamsburg, w/ Dog","https://listingsproject-listing-photos.imgix.net/listing_photos/YcjOS56HcKhy06NjSLIUGQ/ccZvUl-IMG_14942.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/large-168-sq-ft-bedroom-east-williamsburg-w-dog
2023-11-14,2023-11-14,"$1,900/month","Clinton Hill, Brooklyn - Rooms for Rent",Furnished room near Pratt,"https://listingsproject-listing-photos.imgix.net/listing_photos/s4r4TGnuAu0hq1yVM0QFUg/tey1qQ-Screen Shot 2023-11-07 at 1.53.38 PM.png?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/furnished-room-near-pratt-4a57736e-a9f9-459e-b342-3fb8287c537d
2023-11-15,2023-11-15,"$1,750/month","Flatbush, Brooklyn - Rooms for Rent",Brooklyn rental: 2 private rooms with lovely backyard garden,"https://listingsproject-listing-photos.imgix.net/listing_photos/N73GaaXR2m86BqxbTsfIHg/-nT6LR-1_1stFlBackRooms_2023_1114_Windows_sm.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/brooklyn-rental-2-private-rooms-with-lovely-backyard-garden-e0237d96-3ae4-48b6-9fd8-2de31a3faac0
2023-11-15,2023-11-15,$950/month,"Bushwick, Brooklyn - Rooms for Rent",Bedroom available in best bushwick location,"https://listingsproject-listing-photos.imgix.net/listing_photos/So-W7d1a-I6jO3gD-bTDVw/-GJfad-IMG_3577.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/bedroom-available-in-best-bushwick-location
2023-11-20,2024-05-31,"$1,950/month","Bushwick, New York - Rooms for Rent",Room for Rent in amenities Luxury Building,"https://listingsproject-listing-photos.imgix.net/listing_photos/K-HP0M_1-Pn6IKFi8tpqZA/-QgfeF-284c4a5fc4a748068b232a891cd6d9bad533fa56-1500x1200.webp?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/room-for-rent-in-amenities-luxury-building-dc5f2fcf-5071-44fc-bace-d9faec607be5
2023-11-20,2024-06-30,"$3,200/month","Tribeca, Manhattan, Manhattan, New York City - Rooms for Rent
        - Pet Friendly",Fantastic Room for Sublet in New York | Tribeca Penthouse Primary Bedroom $3200,"https://listingsproject-listing-photos.imgix.net/listing_photos/C_Sk09WFe52Ejam3hrQ_nA/IpqtRu-2911699751349_.pic_hd.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/fantastic-room-for-sublet-in-new-york-tribeca-penthouse-master-bedroom-3200
2023-11-20,2023-11-20,"$1,005/month","Prospect Heights, Brooklyn - Rooms for Rent",Room in Prospect Heights 3 BR,"https://listingsproject-listing-photos.imgix.net/listing_photos/AZeUxu5d1gMiNcaKVT7rGw/8rcOso-1%20bedroom.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/room-in-prospect-heights-3-br
2023-11-30,2024-11-30,"$1,325/month","Bay Ridge, Brooklyn - Rooms for Rent
        - Pet Friendly","Roommate Wanted for Sunny 2-Bedroom Apartment in Bay Ridge, Brooklyn","https://listingsproject-listing-photos.imgix.net/listing_photos/fytxseYKR6FkeOg2rdro0w/3esdDq-D4C12659-403C-4EB6-B616-54F715073CB9.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/roommate-wanted-for-sunny-2-bedroom-apartment-in-bay-ridge-brooklyn-c8d2bbc9-b524-4476-8c56-d70cf393ccd7
2023-12-01,2024-06-30,"$2,050/month","Bedford Stuyvesant, Brooklyn - Rooms for Rent
        - Pet Friendly",Garden Level Duplex in BedStuy,"https://listingsproject-listing-photos.imgix.net/listing_photos/lYWv1QnrEzpzEbkDhmuh2Q/K9ztJb-bedroom%201.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/garden-level-duplex-in-bedstuy
2023-12-01,2023-12-01,"$1,045/month","Crown Heights, Brooklyn - Rooms for Rent
        - Pet Friendly",Sunny Room in Crown Heights off of the Nostrand A/C,"https://listingsproject-listing-photos.imgix.net/listing_photos/2QSr61SQm825dkN8ZcJvpg/gwZ2J3-IMG_0075.png?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/sunny-room-in-crown-heights-off-of-the-nostrand-a-c
2023-12-01,2024-11-30,"$2,300/month","Bed Stuyvesant/Ocean Hill, Brooklyn - Rooms for Rent","1 Roommate needed in Fully Furnished 2000 Sqft Duplex.Washer Dryer, Private 1000 Sqft Roof access.","https://listingsproject-listing-photos.imgix.net/listing_photos/WGJ2yHKMOlXMJdsqwzcyrw/Ro5H1O-60_Duplex2SecondBedroom05.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/1-roommate-needed-in-fully-furnished-2000-sqft-duplex-washer-dryer-private-1000-sqft-roof-access-67107c3e-8e5a-4d3e-aa40-cd8967ca29fe
2023-12-01,2023-12-01,"$1,250/month","Bushwick, Brooklyn - Rooms for Rent",Room in Bushwick Art Collective,"https://listingsproject-listing-photos.imgix.net/listing_photos/I8W2x2N9hHCUwlE1uuUaSA/riDH3w-A6361AD3-9B1B-439A-B644-DFED54EA92FF.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/room-in-bushwick-art-collective-21b06712-7f81-4f40-aa82-286247916bfc
2023-12-01,2023-12-01,"$2,250/month","Prospect Lefferts Gardens, Brooklyn - Rooms for Rent",2 Private Rooms & Private Bathroom in 2Bed/3Bath,"https://listingsproject-listing-photos.imgix.net/listing_photos/LYtd4Vkwa7qdPhCaTT1PIg/TsIowb-IMG_8341.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/2-private-rooms-private-bathroom-in-2bed-3bath
2023-12-01,2024-11-30,"$2,675/month","Soho / Nolita, Manhattan - Rooms for Rent","Room in 3 bedroom Spacious Full Floor 1,000 sqft Apartment with Washer/Dryer and Patio","https://listingsproject-listing-photos.imgix.net/listing_photos/36i4tpc1q2JhG5dPPCX4rA/Ai_fEI-WhatsApp%20Image%202023-11-13%20at%2009.16.52_72a3427b.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/room-in-3-bedroom-spacious-full-floor-1-000-sqft-apartment-with-washer-dryer-and-patio
2023-12-01,2024-03-01,"$1,350/month","Bedford Stuyvesant, Brooklyn - Rooms for Rent",Parlor floor (2bed/2bath) with private backyard.,"https://listingsproject-listing-photos.imgix.net/listing_photos/IDJ5y_WzU5dQixcPWemQ7w/anVlLc-7d9b0f06-8fcc-4875-841b-04d7072639e6.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/parlor-floor-2bed-2bath-with-private-backyard
2023-12-01,2023-12-01,"$1,300/month","Crown Heights, Brooklyn - Rooms for Rent",Sunny home near Grand Army Plaza,"https://listingsproject-listing-photos.imgix.net/listing_photos/95snO6Nx2NA1b_vX0aQKFA/LSxni6-IMG_6762.png?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/sunny-home-near-grand-army-plaza-bb1104d9-638d-433d-92bf-a0169874f731
2023-12-01,2023-12-01,"$1,095/month","Bushwick (one block from Bed Stuy), Brooklyn - Rooms for Rent","Big, Furnished Room for Rent","https://listingsproject-listing-photos.imgix.net/listing_photos/syc7djQMxT_TzoaHZ4hhOg/S6vu3D-kitchen.HEIC?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/big-furnished-room-for-rent-d0961b6c-e78e-4928-adb4-6f2cad42e46b
2023-12-01,2023-12-01,"$1,045/month","Clinton Hill, Brooklyn - Rooms for Rent",Quiet room in Clinton Hill 3BR,"https://listingsproject-listing-photos.imgix.net/listing_photos/YTZ3sZUvn4zBjOBIku2sJw/jykl4a-Layout2.2.png?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/quiet-room-in-clinton-hill-3br-269770
2023-12-01,2023-12-01,"$2,700/month","Greenpoint, Brooklyn - Rooms for Rent",Light-Filled Room ðŸŒž in Large 2-bd. w/ Terraceâ€”Prime Greenpoint,"https://listingsproject-listing-photos.imgix.net/listing_photos/7jWSsoCSV_UNCQvLqtGGgQ/mJBw20-IMG_0756%202.JPG?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/light-filled-room-in-large-2-bd-w-terrace-prime-greenpoint
2023-12-01,2023-12-01,"$1,500/month","Lower East Side, Manhattan - Rooms for Rent",ROOM FOR RENT IN THE HEART OF LES,"https://listingsproject-listing-photos.imgix.net/listing_photos/3AD9YvvuJ3z5qw0bR_YRgw/TXomnb-BEDROOM 1.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/room-for-rent-in-the-heart-of-les-2b9ff2cd-e03f-4497-bde1-7ed18ecb2f57
2023-12-01,2024-11-30,"$1,412/month","Williamsburg, Brooklyn - Rooms for Rent","Nice Room in Large, Sun-Drenched Williamsburg Apartment With Backyard","https://listingsproject-listing-photos.imgix.net/listing_photos/oHgDkdxMz-AZETtNvjUSLg/_EZ_qT-6F1FF454-8621-40EF-86BE-03C13434639E.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/nice-room-in-large-sun-drenched-williamsburg-apartment-with-backyard-269792
2023-12-01,2024-11-30,"$1,750/month","Bushwick, Brooklyn - Rooms for Rent",2 Large Sunny Rooms,"https://listingsproject-listing-photos.imgix.net/listing_photos/exNS2c6UW1Xq3CV1JV3h_g/iyBml7-IMG_8113.JPG?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/2-large-sunny-rooms-086da502-fc9a-4f0e-82f8-187aa4f41918
2023-12-01,2024-12-01,"$1,275/month","Flatbush, Brooklyn - Rooms for Rent","Spacious, Light-Filled Room w/ Attached Office","https://listingsproject-listing-photos.imgix.net/listing_photos/qTIwVKuIsc99tyHD1u9_zw/ZearOw-IMG_6882.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/spacious-light-filled-room-w-attached-office-cf7b840a-765b-49a6-b2bc-7ad649d5c235
2023-12-01,2024-11-30,"$1,975/month","Williamsburg, Brooklyn - Rooms for Rent","N6th St in Williamsburg, right by L train and ferry","https://listingsproject-listing-photos.imgix.net/listing_photos/TAKiPkaRyuGzxyJkohRj5A/NHNG88-N6 Living.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/n6th-st-in-williamsburg-right-by-l-train-and-ferry-396b90f7-043b-4aa2-818c-0b7ef7833ade
2023-12-01,2024-11-30,"$1,400/month","Lower East Side, Manhattan - Rooms for Rent
        - Pet Friendly",LES great deal! Pet & neurodivergent friendly,"https://listingsproject-listing-photos.imgix.net/listing_photos/WC1WOE4LX8UWEUZkBk_T2w/jgz2AX-1.png?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/les-great-deal-pet-neurodivergent-friendly-826c9ed8-8958-40a9-821b-00292549731a
2023-12-01,2024-01-31,$900/month,"Bay Ridge, Brooklyn - Rooms for Rent","Furnished Room In Brooklyn, Bay Ridge - Female Only (Move-in Date December 1st))","https://listingsproject-listing-photos.imgix.net/listing_photos/-lFzjij5tqOFMam3OJnNwQ/6yNcHd-roommates_2017-07-06-10-39-15-741_8841809.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/furnished-room-in-brooklyn-bay-ridge-female-only-move-in-date-december-1st
2023-12-01,2023-12-01,"$1,150/month","Bushwick, Brooklyn - Rooms for Rent",Beautiful sunny room in Bushwick 3BR,"https://listingsproject-listing-photos.imgix.net/listing_photos/tDkHwKwAV_SnOCNfXet8sQ/a0SynV-IMG_4352.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/beautiful-sunny-room-in-bushwick-3br-269886
2023-12-01,2024-11-30,"$1,000/month","Astoria, Queens - Rooms for Rent",Nice Room in Apt with Outdoor Space,"https://listingsproject-listing-photos.imgix.net/listing_photos/09CwP0Hp-BBKWSYi53LY_w/dXqi_I-Room 2.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/nice-room-in-apt-with-outdoor-space-a560ee4f-f086-4435-b3c9-d44f981a5811
2023-12-01,2023-12-01,"$1,350/month","Bedford Stuyvesant, Brooklyn - Rooms for Rent",Large room nestled in Beautiful Stuyvesant Heights,"https://listingsproject-listing-photos.imgix.net/listing_photos/-B3YpOSq-rvcxOFjeBLd1w/zCbsUD-2037f34e514e3e48a0a3eb1cd6707f1f-p_f (1).jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/large-room-nestled-in-beautiful-stuyvesant-heights-b4f41183-3e2b-4494-be87-9a40f190faba
2023-12-01,2024-12-01,"$1,100/month","Greenpoint, BROOKLYN - Rooms for Rent",A Nice Room in Newly Renovated Apartment in Greenpoint,"https://listingsproject-listing-photos.imgix.net/listing_photos/T9esTRlLctAdLWEAA100UQ/FOafJY-kfgIfS-IMG_6935%20%281%29.avif?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/a-nice-room-in-newly-renovated-apartment-in-greenpoint
2023-12-01,2023-12-01,"$1,800/month","Chinatown, New York - Rooms for Rent",Clean quiet room for sublet in Chinatown,"https://listingsproject-listing-photos.imgix.net/listing_photos/u2rgXpeC3iWaV5HwSX0mAg/TGUABu-IMG_4877.HEIC?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/clean-quiet-room-for-sublet-in-chinatown
2023-12-01,2023-12-01,"$2,500/month","Lower East Side/East Village, Manhattan - Rooms for Rent",Loft-like Apartment For Share,"https://listingsproject-listing-photos.imgix.net/listing_photos/t5jaOyIIaHp8IG_nc0P_rg/d2UjQU-IMG_1588.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/loft-like-apartment-for-share-ed6c2cac-e9cd-4246-96b8-4a4284fec38a
2023-12-02,2024-07-31,"$2,275/month","Lower East Side, Manhattan - Rooms for Rent",Room available in sunny 2 bed 2 bath!,"https://listingsproject-listing-photos.imgix.net/listing_photos/2Fq7cLM5p2Yi2iRlnBUdVg/Q8PGDS-IMG-3294.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/room-available-in-sunny-2-bed-2-bath
2023-12-10,2024-12-15,"$1,750/month","Greenpoint, New York - Rooms for Rent",Spacious room available in newly renovated Greenpoint apartment,"https://listingsproject-listing-photos.imgix.net/listing_photos/myuujew-ZeHaGNIGT_dPmw/WgBTfq-IMG_3775.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/spacious-room-available-in-newly-renovated-greenpoint-apartment
2023-12-15,2024-12-14,"$2,350/month","Prospect Lefferts Gardens, Brooklyn - Rooms for Rent
        - Pet Friendly",Primary bedroom and private office in light-filled PLG apartment near the park,"https://listingsproject-listing-photos.imgix.net/listing_photos/ir0viwccBwwlpyND68va9g/ZYKlYf-7.HEIC?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/primary-bedroom-and-private-office-in-light-filled-plg-apartment-near-the-park
2024-01-01,2024-05-31,"$2,000/month","Bedford-Stuyvesant, Brooklyn - Rooms for Rent","Bedroom, Private Bath, and Private Workspace in Massive Two Bedroom","https://listingsproject-listing-photos.imgix.net/listing_photos/0wJ3npogcEkp8Tg-NbfVHQ/n2E5jZ-IMG_2918.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/bedroom-private-bath-and-private-workspace-in-massive-two-bedroom
2024-01-01,2024-01-01,"$2,200/month","Downtown Manhattan, Manhattan - Rooms for Rent","Huge, Designer, Downtown Loft","https://listingsproject-listing-photos.imgix.net/listing_photos/1K64cIRgaXGlB16WLZaLlg/2i7m3k-Screen Shot 2019-12-18 at 8.11.48 AM.png?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/huge-designer-downtown-loft-c837cdd2-3cd1-4687-b79b-14245b749884
2024-01-01,2025-08-31,"$1,600/month","Bedford Stuyvesant, Brooklyn - Rooms for Rent",Charming Bedroom In The Heart of Brooklyn,"https://listingsproject-listing-photos.imgix.net/listing_photos/4tD5Hj2rMNPjbTPLolnD1A/YS2q42-1.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/charming-bedroom-in-the-heart-of-brooklyn-3f779398-01f2-42ad-b417-44e86920d145
2024-01-01,2024-12-31,$946/month,"Prospect Park South/ Flatbush, Brooklyn - Rooms for Rent",Room available-Prospect Park South - $946/month,"https://listingsproject-listing-photos.imgix.net/listing_photos/lCbBuu6vYXE6fgPSvm_C0Q/MHyDvD-Room%201.jpg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/room-available-prospect-park-south-946-month
2024-01-01,2025-01-01,"$1,352/month","Williamsburg, Brooklyn - Rooms for Rent",2 Bedrooms in 5 Bed Available Starting 01/2024,"https://listingsproject-listing-photos.imgix.net/listing_photos/DkMT9794p6lSLQtLbec0vA/ximj6C-IMG_7669.jpeg?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/2-bedrooms-in-5-bed-available-starting-01-2024
2024-01-08,2025-01-08,"$1,100/month","Bedford Stuyvesant, Brooklyn - Rooms for Rent",Multiple rooms available in gorgeous Bed-Stuy townhouse,"https://listingsproject-listing-photos.imgix.net/listing_photos/TiGvSmR9LxGyfILauC81Rg/9A4XZB-1.HEIC?w=330&h=220&fit=crop&crop=entropy&auto=format,compress",https://www.listingsproject.com/listings/multiple-rooms-available-in-gorgeous-bed-stuy-townhouse
